"ANO","MES","ICDV","GasolinaRegular","OCUPACION_HOT","M1","Ratio_M3-M1","EMBI-RD","IMAE","M2","Remesas","Reservas","TC venta","Turistas","IPC_VAR","COTIZANTES","CONSUMO_TC","LIMITE_TC","CREDITO.MN","RATIO_INCUMPLIMIENTO","TIPM_INTERBANCARIA","MH10A_INTERBANCARIA","MH10A","NET_INTEREST_INCOME_VAR","GROSS_CREDIT_INCOME_VAR","ITBIS","ITBIS_12m"
2008,1,NA,NA,86.8,137974.508,2.832,3.75,60.66,396556.791,NA,2216.9,33.96,372,9.047,832677,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,NA
2008,2,NA,NA,91.3,139968.387,2.83,4.57,62.11,398178.436,NA,2245.2,34.04,389.08,8.679,858797,NA,NA,NA,NA,8.92,NA,NA,NA,NA,NA,NA
2008,3,NA,NA,84.8,140439.094,2.961,4.43,63.93,393562.852,NA,2183.9,34.14,315.72,9.672,901599,NA,NA,NA,NA,9.95,NA,NA,NA,NA,NA,NA
2008,4,NA,NA,78.9,137069.561,2.973,4.02,62.97,391311.894,NA,2193.2,34.13,247.36,10.833,882878,NA,NA,NA,NA,9.98,NA,NA,NA,NA,NA,NA
2008,5,NA,NA,61.3,129237.865,3.097,4.09,61.05,387009.797,NA,1975,34.27,281.34,10.035,908331,NA,NA,NA,NA,10.29,NA,NA,NA,NA,NA,NA
2008,6,NA,NA,62.9,128547.886,3.151,4.89,61.9,392876.564,NA,2078.5,34.39,327.23,12.204,915787,NA,NA,NA,NA,10.93,NA,NA,NA,NA,NA,NA
2008,7,NA,NA,71.7,127038.227,2.988,5.09,57.7,391619.189,NA,2111.2,34.8,281.09,13.728,928221,NA,NA,NA,NA,13.23,NA,NA,NA,NA,NA,NA
2008,8,NA,NA,72.6,125524.314,2.95,5.4,54.63,396699.103,NA,2099.2,34.95,162.95,14.568,896435,NA,NA,NA,NA,13.96,NA,NA,NA,NA,NA,NA
2008,9,NA,NA,51.7,120461.66,3.029,12.5,60.37,395449.122,NA,2007.7,35.09,177.07,14.579,921225,NA,NA,NA,NA,15.06,NA,NA,NA,NA,NA,NA
2008,10,NA,NA,51.3,122432.235,2.941,16.37,57.25,397944.272,NA,1986.5,35.32,233.18,12.844,928195,NA,NA,NA,NA,15.43,NA,NA,NA,NA,NA,NA
2008,11,NA,NA,64.4,128670.125,2.773,17.09,60.66,407899.186,NA,2165.4,35.39,307.48,7.214,901909,NA,NA,NA,NA,15.51,NA,NA,NA,NA,NA,NA
2008,12,NA,NA,67.3,125117.288,2.985,13.98,58.07,406964.95,NA,2085.4,35.49,346,4.517,929743,NA,NA,NA,NA,15.51,NA,NA,NA,NA,NA,NA
2009,1,NA,NA,79.8,124548.624,3.006,11.01,58.52,407429.412,NA,2095.6,35.65,348.75,3.68,855267,NA,NA,NA,NA,14.33,NA,NA,NA,NA,NA,NA
2009,2,NA,NA,84.8,125961.896,3.006,12.12,61.16,414201.121,NA,2103.8,35.77,363.41,4.031,920721,NA,NA,NA,NA,11.36,NA,NA,NA,NA,NA,NA
2009,3,NA,NA,80.1,125544.969,3.071,9.73,62.52,414107.762,NA,2038.9,35.92,300.11,2.441,938933,NA,NA,NA,NA,8.72,NA,NA,NA,NA,NA,NA
2009,4,NA,NA,69.8,126050.62,3.177,8.92,60.6,417130.167,NA,2073,36.04,249.9,0.695,998192,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA
2009,5,NA,NA,60.2,126309.66,3.309,8.17,60.77,420327.271,NA,2047.1,36,276.49,0.473,1017529,NA,NA,NA,NA,7.55,NA,NA,NA,NA,NA,NA
2009,6,NA,NA,61.3,128843.245,3.211,8.7,61.39,423056.826,NA,2059.3,36.07,327.97,0.257,1019428,NA,NA,NA,NA,7.85,NA,NA,NA,NA,NA,NA
2009,7,NA,NA,67.8,128814.566,3.197,8.04,59.64,425964.134,NA,2272.7,36.1,274.94,-1.221,1034463,NA,NA,NA,NA,7.97,NA,NA,NA,NA,NA,NA
2009,8,NA,NA,63.3,128646.926,3.188,5.76,57.92,429274.503,NA,2210.9,36.13,166.52,-0.47,1076120,NA,NA,NA,NA,8.13,NA,NA,NA,NA,NA,NA
2009,9,NA,NA,47.5,130172.494,3.188,4.73,62.49,433525.773,NA,2074.6,36.16,190.13,-1.569,995191,NA,NA,NA,NA,6.64,NA,NA,NA,NA,NA,NA
2009,10,NA,NA,47.7,135913.042,3.078,4.95,62.71,443053.897,NA,2222.9,36.17,243.66,-0.301,1094295,NA,NA,NA,NA,5.99,NA,NA,NA,NA,NA,NA
2009,11,NA,NA,61.8,152640.191,3.056,4.35,64.92,466359.18,NA,2851.9,36.16,327.76,4.18,1096297,NA,NA,NA,NA,5.33,NA,NA,NA,NA,NA,NA
2009,12,NA,NA,67.6,145298.968,3.119,4.14,60.37,461771.621,280.16,2615.77,36.19,366.26,5.765,1118293,NA,NA,NA,NA,5.59,NA,NA,NA,NA,NA,NA
2010,1,NA,NA,80.91,147621.551,3.2,4.51,64.6,467018.106,304.1,2430.11,36.27,354.04,6.853,1026752,NA,NA,NA,NA,5.74,NA,NA,NA,NA,NA,NA
2010,2,NA,NA,82.41,153080.759,3.277,3.95,68.25,472053.593,339.94,2295.51,36.37,371.24,6.677,1115426,NA,NA,NA,NA,5.99,NA,NA,NA,NA,NA,NA
2010,3,NA,NA,75.6,156826.254,3.24,3.46,67.96,477006.471,290.8,2294.34,36.51,289.22,7.427,1148486,NA,NA,NA,NA,6.08,NA,NA,NA,NA,NA,NA
2010,4,NA,NA,67.98,158476.272,3.26,4.33,66.07,483282.152,303.78,2655.51,36.79,246.81,7.657,1109033,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA,NA
2010,5,NA,NA,55.32,152442.07,3.266,4.35,65.75,482776.615,280.46,2511.32,36.81,290.76,7.901,1126585,NA,NA,NA,NA,6.08,NA,NA,NA,NA,NA,NA
2010,6,NA,NA,60.56,153395.796,3.195,4.06,65.3,486106.042,337.13,2470.04,36.88,346.67,5.438,1145754,NA,NA,NA,NA,6.02,NA,NA,NA,NA,NA,NA
2010,7,NA,NA,67.39,152227.03,3.165,3.71,65.1,488288.385,314.05,2406.99,36.99,280.38,5.673,1148113,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA
2010,8,NA,NA,65.8,149279.161,3.392,3.38,63.28,487840.513,294.1,2274.28,37.07,180.38,5.009,1144919,NA,NA,NA,NA,6.22,NA,NA,NA,NA,NA,NA
2010,9,NA,NA,56.8,147162.714,3.505,3.27,67.28,485189.925,306.4,2418.18,37.29,207.33,5.701,1145836,NA,NA,NA,NA,6.04,NA,NA,NA,NA,NA,NA
2010,10,110.680136378877,NA,52.5,148845.371,3.305,3.07,68.03,486924.93,282.06,2656.08,37.3,256.2,6.171,1153219,NA,NA,NA,NA,6.32,NA,NA,NA,NA,NA,NA
2010,11,112.040640369407,NA,65.7,166994.325,3.066,3.03,70.12,512921.325,349.96,3342.7,37.4,331.8,5.374,1176723,NA,NA,NA,NA,6.96,NA,NA,NA,NA,NA,NA
2010,12,113.110951631685,NA,67.7,154134.198,3.294,3.36,63.98,495056.579,299.48,2705.25,37.54,367.56,6.238,1189601,NA,NA,NA,NA,7.31,NA,NA,NA,NA,NA,NA
2011,1,114.258010364884,NA,80.7,156927.619,3.367,3.64,68.36,503693.322,322.13,2635.02,37.72,365.67,6.166,1077595,NA,NA,NA,NA,7.295,NA,NA,NA,NA,NA,NA
2011,2,115.616920603323,NA,85.8,162002.835,3.427,3.93,70.61,513798.155,366.43,2594.85,37.85,394.82,7.292,1178397,NA,NA,NA,NA,7.41,NA,NA,NA,NA,NA,NA
2011,3,121.398462141295,NA,83.5,165862.594,3.515,3.65,68.45,521303.151,351.86,2568.38,37.9,330.7,7.607,1212258,NA,NA,NA,NA,7.68,NA,NA,NA,NA,NA,NA
2011,4,124.264872417459,NA,74.1,164105.556,3.449,3.62,70.84,524921.497,346.45,2599.66,37.96,251.65,8.16,1178755,NA,NA,NA,NA,7.82,NA,NA,NA,NA,NA,NA
2011,5,124.043124049097,NA,58.1,159546.661,3.475,4.14,67.47,523437.756,339.98,2606.55,38.1,290.55,8.03,1197970,NA,NA,NA,NA,8.462,NA,NA,NA,NA,NA,NA
2011,6,123.690767809191,NA,60.4,158875.447,3.602,4.1,66.83,526203.495,369.68,3239.23,38.12,363.04,9.319,1220579,NA,NA,NA,NA,8.482,NA,NA,NA,NA,NA,NA
